"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 16 19:04:08 GMT 2022","Thu Jun 16 19:04:08 GMT 2022","232","","SignInTest","","SignInTest","SignInWithWrongData","SignInWithWrongData()",""
"broken","Thu Jun 16 19:04:09 GMT 2022","Thu Jun 16 19:04:09 GMT 2022","159","","LoginTest","","LoginTest","inValidLogin","inValidLogin()",""
"broken","Thu Jun 16 19:04:09 GMT 2022","Thu Jun 16 19:04:09 GMT 2022","151","","LoginTest","","LoginTest","logout","logout()",""
"broken","Thu Jun 16 19:04:09 GMT 2022","Thu Jun 16 19:04:10 GMT 2022","141","","LoginTest","","LoginTest","MissingDetailsLogin","MissingDetailsLogin()",""
"broken","Thu Jun 16 19:04:09 GMT 2022","Thu Jun 16 19:04:09 GMT 2022","149","","LoginTest","","LoginTest","validLogin","validLogin()",""
"broken","Thu Jun 16 19:04:08 GMT 2022","Thu Jun 16 19:04:08 GMT 2022","162","","SignInTest","","SignInTest","SignInTest","SignInTest()",""
"broken","Thu Jun 16 19:04:07 GMT 2022","Thu Jun 16 19:04:08 GMT 2022","777","","BlogTest","","BlogTest","goToBlog","goToBlog()",""
"broken","Thu Jun 16 19:04:09 GMT 2022","Thu Jun 16 19:04:09 GMT 2022","163","","SignInTest","","SignInTest","SignInWithDuplicateData","SignInWithDuplicateData()",""
"broken","Thu Jun 16 19:04:09 GMT 2022","Thu Jun 16 19:04:09 GMT 2022","155","","SignInTest","","SignInTest","acceptTermsAndConditions","acceptTermsAndConditions()",""
"broken","Thu Jun 16 19:04:08 GMT 2022","Thu Jun 16 19:04:08 GMT 2022","202","","SignInTest","","SignInTest","closeTermsAndCondtitons","closeTermsAndCondtitons()",""
"broken","Thu Jun 16 19:04:08 GMT 2022","Thu Jun 16 19:04:09 GMT 2022","160","","SignInTest","","SignInTest","SignInWithoutData","SignInWithoutData()",""
